disease_illness_name,standard
Acute Diarrheal Disease,Acute Diarrheal Disease
Acute Diarrhoeal Disease,Acute Diarrheal Disease
Acute diarrheal disease (Klebsiella),Acute diarrheal disease (Klebsiella)
Acute Diarrheal Disease (Shigellosis),Acute Diarrheal Disease (Shigellosis)
Acute Diarrhoeal Disease (Rota virus),Acute Diarrhoeal Disease (Rota virus)
Acute Diarrhoeal Disease and Respiratandy Tract Infection and Viral Infection,Acute Diarrhoeal Disease and Respiratandy Tract Infection and Viral Infection
Acute Encephalitic Syndrome,Acute Encephalitic Syndrome
Acute Encephalitis Syndrome,Acute Encephalitic Syndrome
Acute Encephalitic Syndrome (Chandipura Virus),Acute Encephalitic Syndrome (Chandipura Virus)
Acute Encephalitic Syndrome (Suspected CHPV),Acute Encephalitic Syndrome (Suspected CHPV)
Acute Encephalitis Syndrome (Japanese Encephalitis),Acute Encephalitis Syndrome (Japanese Encephalitis)
Acute Febrile Illness,Acute Febrile Illness
Acute Febrile Illness (Enteric Fever),Acute Febrile Illness (Enteric Fever)
Acute Febrile Illness and Malaria,Acute Febrile Illness and Malaria
Acute Febrile Illness and Viral Fever,Acute Febrile Illness and Viral Fever
Acute Flaccid Paralysis,Acute Flaccid Paralysis
Acute Flaccid Paralysis (Epstein Bar Virus and Human Herpes Virus),Acute Flaccid Paralysis (Epstein Bar Virus and Human Herpes Virus)
Acute Gastritis,Acute Gastritis
Acute Gastroente ritis,Acute Gastroenteritis
Acute Gastroenter itis,Acute Gastroenteritis
Acute Gastroenteri tis,Acute Gastroenteritis
Acute Gastroenterit is,Acute Gastroenteritis
Acute Gastroenteriti s,Acute Gastroenteritis
Acute Gastroenteritis,Acute Gastroenteritis
Acute Gastroenteritis (Norovirus),Acute Gastroenteritis (Norovirus)
Acute Hepatitis,Acute Hepatitis
Acute Hepatitis A,Acute Hepatitis-A
Acute Hepatitis B,Acute Hepatitis-B
Acute Hepatitis E,Acute Hepatitis-E
Acute Meningitis,Acute Meningitis
Acute Meningoencephalitis (Naegleria fowleri),Acute Meningoencephalitis (Naegleria fowleri)
Acute Respiratandy Illness,Acute Respiratandy Illness
Acute Respiratandy Infection,Acute Respiratandy Infection
Acute Respiratandy Influenza,Acute Respiratandy Influenza
Acute Viral Conjunctivitis,Acute Viral Conjunctivitis
Acute Viral Encephalitis (Chandipura),Acute Viral Encephalitis (Chandipura)
Acute Viral Fever,Acute Viral Fever
Adenovirus,Adenovirus
Alcohol Poisoning,Alcohol Poisoning
Allergic Conjunctivitis,Allergic Conjunctivitis
Amoebic Dysentery,Amoebic Dysentery
Amoebic Encephalitis,Amoebic Encephalitis
Animal bite - Dog Bite,Animal bite - Dog Bite
Animal bite - Snake Bite,Animal bite - Snake Bite
Anthrax,Anthrax
ARI Influenza Like Illness(ILI),ARI Influenza Like Illness(ILI)
Avian Influenza,Avian Influenza
Bacillary Dysentery,Bacillary Dysentery
Benzene Hexachlandide (BHC) Poisoning,Benzene Hexachlandide (BHC) Poisoning
Brucellosis,Brucellosis
Cast and Seed Poisoning,Cast and Seed Poisoning
Chandipura Vesiculovirus (CHPV),Chandipura Vesiculovirus (CHPV)
Chandipura Virus,Chandipura Vesiculovirus (CHPV)
Chemical Gas Poisoning,Chemical Gas Poisoning
Chicken Pox,Chickenpox
Chickenpox,Chickenpox
Chickenpox and Measles,Chickenpox and Measles
Measles and Chickenpox,Chickenpox and Measles
Chickenpox and Mumps,Chickenpox and Mumps
Chikeckenpox,Chikeckenpox
Chikungun ya,Chikungunya
Chikunguny a,Chikungunya
Chikungunya,Chikungunya
Chikungunya & Dengue,Chikungunya and Dengue
Chikungunya and Dengue,Chikungunya and Dengue
Dengue & Chikungunya,Chikungunya and Dengue
Dengue and Chikungunya,Chikungunya and Dengue
Chikungunya and Leptospirosis,Chikungunya and Leptospirosis
Cholera,Cholera
Complicated Malaria (Plasmodium falciparum),Complicated Malaria (Plasmodium falciparum)
Convulsions of Unknown Cause,Convulsions of Unknown Cause
COVID 19,COVID 19
Crimean Congo Haemandrhagic Fever (CCHF),Crimean-Congo Haemandrhagic Fever (CCHF)
